timestamp,participant_id,story_key,story_title,preferred_label,preferred_source,reason,flag_phrase_1,flag_comment_1,flag_phrase_2,flag_comment_2,flag_phrase_3,flag_comment_3
20260513_175704,12b44a6a,syria,Syria,,,,,,,,,
20260513_175704,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175704,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_175713,12b44a6a,syria,Syria,,,,,,,,,
20260513_175713,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175713,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_175715,12b44a6a,syria,Syria,,,,,,,,,
20260513_175715,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175715,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_175716,12b44a6a,syria,Syria,,,,,,,,,
20260513_175716,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175716,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_175717,12b44a6a,syria,Syria,,,,,,,,,
20260513_175717,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175717,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_181832,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181832,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181832,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181835,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181835,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181835,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181836,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181836,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181836,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181837,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181837,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181837,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181837,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181837,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181837,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
